1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10.0,53.708717,50.831409,67.5,48.961979,38.296659,38.142504,43.597097,30.033259,47.599133,51.089817,44.37664,38.434191,43.822944,59.489004,53.25531,53.764931,37.6,49.182953,46.488414,39.973005,47.212121,44.532967,50.818268,43.923304,44.337384,47.250868,47.128009,60.886947,50.134783,38.579767,52.070634,45.740132,50.454545,55.028058,52.786225,47.164116,48.723092,48.500196,44.596895,47.784346,51.77497,45.885481,43.747361,43.236092,45.015446,46.238152,40.705082,39.802372,48.845854,41.992945,42.424989,42.600451,42.417463,42.367101,41.639042,42.327239,37.855207,41.976687,42.3097,38.840465,35.673077,36.252442,37.577207,38.702703,39.462659,37.737401,38.665094,38.327438,38.0,38.559938,35.476718,41.700043,36.838542,38.632276,37.962025,37.112647,36.950663,37.552599,35.185436,36.067738,34.37042,32.634045,41.336794,35.691951,37.808311,37.360802,28.45016,37.991507,39.341085,37.522996,41.001467,34.862042,31.376263,30.609155,37.29682,38.967487,36.055498,32.928969,53.311475
14.169884,55.980392,44.741437,67.990905,47.711443,31.837649,46.947268,30.615468,39.716629,40.571142,38.803062,39.541958,28.628014,44.131158,63.567086,28.253012,68.602573,58.465485,49.23303,56.218467,43.215757,36.116071,49.617169,41.925485,40.268362,46.616702,37.418919,48.042714,48.709291,44.750623,59.201141,53.441145,59.977027,48.711932,49.927366,40.096275,43.821048,50.893285,46.380414,58.623352,38.8622,34.068075,42.96979,36.176105,41.615147,38.722359,45.024144,49.589783,49.594595,38.68408,45.503652,33.083086,37.118103,42.815411,34.596425,35.133033,37.653981,45.997938,39.971738,40.43627,34.608696,41.747649,35.052957,35.825179,30.712035,35.392157,37.311796,30.865672,30.906959,33.423603,32.750553,36.418701,30.154867,36.452991,30.864198,42.019192,38.091286,36.986344,50.662852,31.026235,33.636364,36.969794,28.016569,39.600607,43.19403,40.413793,40.680066,32.636826,47.084048,33.127671,44.541667,36.026066,40.200535,27.702255,29.584718,26.414141,32.306397,42.249747,41.617305,54.947046
11.564626,54.326923,31.970317,67.913907,37.878289,33.104009,42.986155,31.356467,49.89486,38.19166,56.915104,54.566289,41.058132,43.401888,40.760431,47.429577,51.724675,46.488203,59.876161,46.827811,49.62845,55.47532,43.244326,43.926901,50.561331,44.569767,45.857494,50.907978,48.75,44.120708,51.615275,56.029061,44.156017,45.943734,45.121337,52.069493,49.011848,49.693124,42.924626,49.388778,42.395361,41.634724,46.843096,41.298701,40.236991,46.739743,41.849282,44.242219,38.722885,37.029946,39.071562,38.35752,41.600973,41.052892,41.080034,40.733413,37.462236,40.664528,41.904425,37.750312,36.018153,36.682129,40.519713,38.63149,36.657459,36.268657,37.687153,37.100362,36.218014,39.837165,35.148757,32.812233,37.051733,32.162801,34.345725,36.918999,35.744473,35.815023,31.144552,34.326963,37.39342,38.409091,35.411738,35.764899,34.053227,40.82477,39.69163,30.779989,33.516705,35.254655,31.515899,30.310112,32.972973,33.285496,31.694664,24.419087,35.038685,37.520129,34.103749,52.863203
10.0,53.507341,23.75,34.513438,36.153846,17.480211,33.092979,26.494778,36.042553,35.587467,38.397129,40.531835,28.872832,51.48863,42.533201,36.102564,46.432353,54.91236,37.515949,42.725437,42.434343,40.829946,39.308472,57.695296,65.506399,63.032787,44.222937,46.641012,66.581769,52.316524,46.675291,44.389775,64.880471,45.219428,46.816121,49.110169,57.210729,50.913104,47.609512,41.451356,46.278898,45.952381,46.979931,45.227719,48.827504,42.586356,46.055632,43.665656,49.39528,43.904265,41.835468,50.308642,42.902021,42.865712,42.48153,42.046952,39.275738,41.026044,42.775365,39.768331,38.732424,41.84857,42.452419,38.428507,39.004985,42.005952,39.202178,39.619198,36.53527,39.504678,39.37603,38.736356,38.122046,37.056724,36.627817,35.258003,35.98026,39.570493,33.047185,42.021696,39.007996,38.055851,37.450945,38.269315,39.837251,38.367971,35.338983,43.120617,42.864553,35.531732,39.722864,40.585918,33.876582,34.787582,37.175926,33.107494,36.288774,33.152502,42.987552,53.119191
10.0,53.021978,48.662614,10.0,43.86786,46.832061,57.50999,31.530825,53.35707,52.621681,39.612979,40.073246,66.839566,41.539023,40.076161,47.621247,59.787823,52.587487,48.471305,58.988147,47.805999,55.265508,47.074554,48.074091,50.510683,56.911697,50.05713,49.703196,54.830508,47.739802,55.421941,47.173669,46.453659,50.561971,44.279891,42.171717,46.755411,51.419583,47.180389,50.197643,46.722786,44.409134,44.626928,49.511462,49.063869,47.000426,44.497539,42.005639,42.231673,44.531396,44.120062,42.724274,42.70787,43.837209,44.083821,41.240166,42.715479,40.647059,41.571954,40.975994,40.77551,36.776371,41.700371,38.483284,42.177332,35.974026,36.905376,41.260526,40.284783,38.2262,38.651595,35.511364,39.405749,43.850763,34.89245,33.501894,35.829558,37.480427,38.540128,40.920156,35.854019,31.229959,37.654252,34.986589,34.385522,37.432775,36.017544,38.646313,32.49472,30.855288,32.026814,37.022654,29.285038,38.883621,33.175214,38.806545,27.002697,38.267347,28.016529,52.906849
13.288889,53.93319,44.976651,40.346535,32.417582,15.746269,44.367527,33.58581,38.282381,43.005725,43.160055,35.763828,39.72067,53.905759,36.45201,37.141158,44.401684,50.764706,40.571726,46.913019,33.988391,50.587393,45.791328,42.42268,48.188616,48.259717,50.08238,57.145602,37.380295,52.188148,48.782183,45.687802,47.34852,40.919235,46.687626,46.042314,44.117355,48.657563,41.744299,51.146827,40.775194,41.276194,41.535394,43.454271,45.529897,47.066577,40.229202,43.096254,41.903553,45.432288,38.20607,42.722748,40.295238,39.793103,39.995631,41.561029,35.243902,37.929381,36.925968,37.663113,38.150503,39.291271,46.66065,38.587751,39.301965,37.013831,36.308954,36.954,35.992167,36.062552,34.177521,38.883721,35.147116,38.132423,38.86829,37.493712,35.197645,32.854503,32.840796,31.269866,35.452511,37.573479,39.168174,35.138963,33.026463,37.043256,36.175603,33.786177,34.696118,33.126416,36.092362,34.573926,39.915115,32.372924,36.907559,22.490931,33.402861,30.58924,37.638889,52.518617
10.0,53.20197,79.342151,43.389121,40.815177,35.022665,66.377119,36.733561,50.208696,46.950221,39.849029,43.318493,48.842865,54.896854,53.077118,49.944474,44.773895,38.994607,44.76493,48.050847,46.394799,49.234475,52.213418,43.172228,54.409111,47.896502,60.615514,46.231757,45.954825,44.931818,46.629059,46.346349,51.115323,50.95953,55.240604,52.235678,42.80389,51.861413,49.549398,49.532294,44.063464,41.73663,40.863693,42.538272,43.236727,46.50737,46.025472,46.133612,46.555646,37.435201,42.973928,40.574339,38.283916,40.741333,41.646473,44.291319,41.516643,38.780542,42.62575,41.57002,39.322845,42.349823,37.098984,37.891536,40.4941,36.278611,39.423077,36.075614,41.544639,37.216586,38.494001,38.963497,39.398717,38.949293,37.600088,36.397408,37.250531,40.675182,34.732314,40.150754,36.680563,36.964865,41.43339,35.468966,38.278939,34.597458,37.857838,30.530973,28.474026,33.498752,39.515867,34.190891,36.54059,34.624413,26.442773,31.851369,34.637883,29.858308,31.927354,53.045852
10.0,53.808752,47.453066,49.402985,41.786754,22.351129,45.755442,80.460307,43.132952,57.05523,48.549223,53.230159,41.701439,57.15859,46.207915,47.506024,56.079137,42.007157,33.891709,38.668576,44.414991,48.944052,41.724865,43.836849,46.431085,47.075789,55.50312,47.601089,55.586824,45.730473,46.648936,49.627329,56.291866,45.663529,55.822981,52.006438,54.374775,47.634113,47.143848,45.579314,48.761691,41.176617,44.843975,40.906852,47.69966,41.694653,40.290237,42.971888,46.555127,44.053317,40.532544,40.834299,39.733656,38.597446,40.178394,41.735669,36.308036,37.774815,40.203528,37.961992,39.235589,39.135266,36.898349,39.599247,38.407484,31.850444,41.591856,37.912035,34.807692,34.865772,37.542257,37.961066,34.425061,38.533599,47.177322,35.929183,37.998226,37.009041,38.021527,31.712639,34.502501,36.107886,35.408707,36.352868,35.747126,35.889571,35.591085,28.762325,32.541209,35.686792,41.196693,26.635725,31.45871,41.52819,38.885323,22.242177,33.550725,38.356164,31.848853,53.076714
10.0,52.918502,49.834613,11.240602,15.196078,75.392949,82.886974,26.906332,47.552861,50.894192,49.10894,59.141344,56.323598,41.556072,54.114435,69.683544,64.874188,46.709845,51.700644,45.937863,55.755545,43.630353,49.567966,50.537828,53.515455,49.096791,38.829923,41.764522,58.264432,41.525371,47.532619,57.670775,55.108371,47.531855,44.386456,44.793072,46.785714,39.633846,48.101397,47.593985,46.565562,44.230931,47.836292,46.320175,40.440018,43.700284,48.327822,36.268293,37.761194,42.774936,37.565651,43.617278,50.740741,42.99511,43.246551,46.498447,40.323961,40.647887,38.296228,38.542648,46.483619,37.849692,38.183404,39.922481,39.780828,35.885625,37.294174,41.534753,37.618175,38.366409,34.723404,37.612385,34.931988,35.328218,33.830077,33.990136,30.688497,33.988873,36.687422,34.168803,35.039461,45.580479,41.003756,35.143854,28.965807,39.567864,32.691703,42.678967,31.209593,26.150235,31.625,26.016156,27.50941,30.48668,44.235986,46.21322,36.948608,27.074085,33.833333,52.863014
10.0,53.176342,61.749654,22.331081,22.901135,34.955197,57.506241,32.485089,51.884257,48.366849,46.152648,44.656085,71.867401,55.777111,47.155222,47.141544,47.804944,56.620137,59.91715,53.211382,50.675137,45.304034,49.130964,46.22372,55.3636,46.937186,53.682796,47.550077,43.080313,55.08344,48.615276,43.792084,51.550549,43.077731,55.299595,49.517766,41.481374,43.714356,43.276791,42.348961,47.848353,42.964494,38.288445,47.591489,43.863216,41.794159,41.788079,41.793877,44.435995,37.772917,43.286517,39.990153,42.065717,40.83989,45.784193,39.997842,39.591078,41.861726,41.039373,39.796108,38.934911,40.596136,35.626935,40.147265,38.072917,37.665842,36.226009,37.011312,38.156277,35.154909,33.63189,36.035165,35.489992,36.910005,36.995739,40.585652,35.994941,32.836483,34.156495,38.729187,39.141221,40.006135,35.674227,34.560469,33.608345,37.587972,39.891147,37.705479,40.033445,41.161657,37.183059,36.344911,26.779622,41.090828,36.375691,36.164384,33.033333,38.371029,33.422195,52.938931
