1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
9.0,6.44319,9.0,9.0,6.3,6.29769,10.5,10.5,11.0,10.636364,11.0,9.0,9.0,9.611111,9.709677,7.123147,7.129545,9.0,9.0,9.0,9.0,9.0,9.0,6.450038,6.473488,10.615385,6.456929,6.452774,9.0,0.0,9.0,10.5,10.791045,8.741294,8.23908,8.359277,8.984332,10.761194,9.0,0.0,9.0,0.0,0.0,9.0,9.0,9.0,6.290598,6.283633,9.0,6.441265
9.0,6.400598,7.02505,7.023069,9.0,9.0,0.0,9.0,9.0,9.0,9.0,10.866667,10.921569,8.380583,8.413462,9.0,6.400898,6.40284,9.0,9.0,9.0,9.0,6.398654,6.406413,9.0,6.398654,6.404478,9.0,0.0,9.0,9.0,9.0,10.331731,9.639515,9.616041,10.293051,9.0,9.0,0.0,0.0,9.0,9.0,9.0,10.878788,6.450517,6.448225,7.655647,7.657497,9.0,6.398654
9.0,6.62181,6.622523,6.622523,9.0,9.0,9.0,9.0,0.0,9.0,9.0,7.674975,7.30711,7.395026,7.774594,9.0,9.0,9.0,6.717047,6.72232,10.8,6.709763,6.711775,9.0,9.0,9.0,9.0,9.0,10.894309,10.884259,10.894495,10.887006,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,7.983103,7.986217,9.0,9.665236,6.854167,6.844156,9.085366,9.084848,9.0,6.616279
9.0,6.547945,6.546078,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,7.132457,7.119145,9.0,9.0,9.0,9.0,9.0,9.0,6.550228,6.674189,8.248387,6.541635,6.554711,9.0,9.0,9.0,9.0,11.0,10.281192,9.1621,9.088993,10.359596,10.963415,9.0,9.0,9.0,9.0,9.0,9.0,9.5,6.549543,6.547674,7.763587,7.763587,0.0,6.547945
9.0,6.590835,9.0,0.0,0.0,6.473637,6.475893,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.363393,7.294029,7.361985,7.426819,10.307692,10.287879,9.0,9.0,6.654206,6.660169,9.0,6.65961,6.65564,9.0,9.0,9.0,9.0,9.0,10.369168,9.761404,9.793537,10.561056,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.630769,6.630769,8.547046,8.547046,0.0,6.586885
9.0,6.724246,6.714173,10.915254,10.931624,10.942308,10.940171,10.95614,0.0,9.0,9.0,9.0,7.360116,7.361702,9.0,9.0,9.722772,9.747573,9.692683,6.728694,6.748834,10.4,5.944606,5.970048,10.4,9.910941,9.893782,10.005831,7.794521,8.471372,9.130522,10.076923,5.974879,6.20203,11.0,9.666667,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,7.907563,7.908873,0.0,6.732449
8.0,6.692247,8.0,8.0,0.0,6.690174,6.693281,8.0,8.0,0.0,8.0,8.0,8.0,8.0,7.659824,7.475996,7.312301,8.0,10.7,8.366197,8.246377,6.687797,6.690909,0.0,8.0,8.0,8.0,10.100629,10.097331,10.140065,8.0,8.0,8.0,8.0,6.68517,6.684127,8.0,8.0,10.991228,10.965217,8.0,8.0,8.0,0.0,6.687302,6.688343,8.872378,8.875439,8.0,6.692247
7.0,6.298246,7.0,7.0,7.0,6.802116,6.802116,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.897736,6.413652,6.771084,6.479874,7.965241,7.967828,7.0,7.0,6.361809,6.36745,11.0,6.35589,6.355351,7.0,7.0,7.0,7.0,0.0,10.288136,10.234201,10.332031,10.466292,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,6.347643,6.347643,9.061404,9.079646,7.0,6.297125
4.0,7.506879,7.499571,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.906593,10.813008,10.414062,10.542857,9.915212,9.92,9.903333,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,7.501715,7.422073,6.873346,7.497427,7.503436,4.0,4.0,4.0,4.0,8.202532,8.205623,8.770107,0.0,0.0,4.0,4.0,7.511188,7.514212,4.0,7.508169
4.0,7.548148,7.5,4.0,4.0,4.0,7.754274,7.755365,7.5,0.0,8.666667,5.75,4.0,4.0,4.0,7.699921,7.758443,7.864773,7.82016,6.333333,4.181818,6.8,7.583181,7.875842,9.189189,7.787449,7.55,4.272727,4.0,4.272727,4.269231,4.0,9.512217,9.209459,9.183173,9.647135,9.6,8.2,9.6,7.5,4.0,4.0,4.0,4.0,4.0,7.5,7.708384,7.712895,4.0,7.561338
