1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10.0,26.778582,10.0,24.892788,13.354167,21.552239,10.932384,19.408884,10.925532,38.611712,18.612782,15.852531,17.806897,19.64532,16.468828,18.311164,14.136463,22.451831,19.761315,16.895601,12.038095,19.981533,19.398204,19.26871,16.174041,19.932439,17.036245,24.436289,18.303513,18.616314,21.929282,20.833449,17.043028,14.115676,21.121722,17.500365,20.577993,18.321619,21.592509,16.350123,17.683788,20.186968,16.756418,17.025654,17.486111,16.957219,18.724265,21.738308,22.630925,14.841584,17.485099,16.6025,16.180851,19.337171,17.86953,18.753806,20.349162,16.335875,17.019543,16.534451,17.610285,16.249211,21.039031,13.874608,19.373237,17.99384,17.892646,16.022188,20.807081,17.509972,16.894631,16.327251,16.904124,18.475482,17.55777,18.527736,15.916754,16.5683,17.223423,19.054705,21.886581,16.822928,24.152593,16.366466,18.840323,14.369243,17.952615,13.135878,17.448718,16.301467,17.57383,17.721559,18.753659,19.486225,20.458636,18.361959,12.599353,14.932432,17.238315,26.767852
10.064815,26.838189,19.89899,22.648916,11.87234,10.0,21.818653,10.911647,12.444634,10.415205,14.048458,10.391892,13.390686,14.474372,17.366456,14.862069,12.077821,16.880647,21.686889,13.547619,18.936942,14.039517,19.821389,17.850781,18.370123,19.428571,13.94863,12.984375,21.567071,25.282098,22.647744,14.424528,17.959673,15.842603,24.804073,17.085197,17.129154,19.650174,20.064711,23.058331,13.979188,20.712551,17.456593,16.366667,18.14806,15.774941,15.889145,17.053968,17.276875,18.872592,16.898455,17.208696,17.055074,17.712,13.692223,19.570069,18.566332,15.788663,16.623954,18.342826,14.186686,15.684343,19.261797,15.383659,18.152722,16.386308,16.30773,16.767568,16.811312,17.438807,15.58872,13.82177,16.850649,17.521524,14.287402,16.769995,15.901993,19.28778,19.04875,18.071302,14.940356,17.79104,18.365397,15.058684,16.168623,15.770938,18.651163,14.691133,15.679409,13.878049,19.411647,19.045879,15.621298,15.169989,16.513792,13.855784,13.589799,17.46896,17.057609,26.746835
10.0,26.823326,10.0,24.097636,14.696239,18.845907,26.778582,13.241427,13.065789,12.609881,15.737334,13.073446,10.315789,14.006135,11.243363,15.767533,14.783962,24.359569,27.290763,26.567177,19.071605,23.525666,17.174468,11.887435,14.063548,17.596644,14.363955,20.782895,14.320856,21.735551,21.280941,19.481164,22.721241,20.109017,19.752,16.004003,15.256039,15.337621,15.036026,19.467074,21.048271,18.890063,15.905282,18.107718,18.342834,22.070537,21.355035,19.392567,17.391498,15.636637,22.903105,22.684211,16.975728,16.880795,15.926367,14.148734,14.478699,16.327434,14.750261,20.146265,16.898142,19.032258,19.040722,13.234745,16.660797,20.03174,14.035941,17.601323,19.314586,18.354437,15.003895,24.518261,15.248266,14.25572,15.281892,17.782531,17.812616,17.623258,16.691681,18.89759,15.706606,16.741084,16.86779,18.904535,14.644895,22.042073,17.848512,16.450355,14.82922,13.898406,15.529267,12.172727,18.684182,11.902174,14.920213,11.816254,14.964232,14.592089,18.891729,26.822511
10.0,26.823326,0.0,14.930876,10.0,10.543689,29.748086,16.383712,35.742378,24.199047,10.0,27.6,12.157685,23.102692,18.027877,22.814425,19.687,19.45,21.562577,24.08937,11.240469,13.747939,13.881549,20.236948,22.85271,16.350889,12.476684,18.273238,15.483871,17.598522,19.810256,17.037882,17.192943,16.778296,32.013229,20.407011,22.543017,18.784855,22.5248,22.093119,20.836592,13.272832,19.567456,22.227691,17.952271,16.37663,13.284235,21.584097,21.61086,16.472671,21.312687,22.08737,19.828986,21.606708,17.136772,21.285414,18.986885,22.981354,19.256507,22.069479,19.099017,19.280828,26.923123,20.597274,19.150772,15.197328,16.324459,17.958413,18.476077,19.507876,23.126002,17.57395,17.910734,19.295944,18.975278,20.366261,22.096475,17.487544,17.576113,21.212639,17.673554,19.338501,15.049495,14.714337,17.467061,20.709091,18.199313,12.276471,17.181923,13.435407,19.454064,20.481713,17.724359,15.633663,14.546099,15.929577,13.526867,21.443212,15.014151,26.837908
10.0,26.887547,17.589363,10.0,38.985247,22.719637,14.033113,19.413722,40.71415,25.47198,13.439625,12.115385,23.305023,20.328319,21.452354,20.548704,19.29393,13.924623,22.14817,26.842668,13.362245,18.268235,19.978809,14.143865,18.643599,11.625378,17.00783,20.874284,17.311221,19.719616,19.058158,20.009603,25.30969,20.878289,25.069803,19.595493,19.496012,17.651149,28.205161,17.592558,20.31179,15.484436,18.244656,22.60815,13.833494,20.555011,18.997913,18.185714,19.950156,15.867532,17.769724,18.015965,17.847938,19.439024,20.856061,17.944264,15.931548,19.305488,22.839894,15.038961,17.218467,20.040773,18.890555,21.655271,18.984779,16.375,20.691693,24.576601,23.652271,19.647541,15.064927,18.267442,13.99543,16.332732,23.230152,17.729032,25.500997,20.369085,15.780298,17.435227,15.171429,20.698756,16.43436,16.417978,11.974194,17.916961,14.355191,15.470227,14.102459,14.187625,12.001502,18.167679,15.481078,15.675337,13.422126,14.977947,13.041667,15.529545,15.32848,26.897266
10.0,26.748623,17.661972,25.793738,14.78673,21.33967,16.17219,16.24963,18.913921,24.266892,18.661304,16.716594,17.119337,21.537418,16.305556,20.973467,13.946636,19.524851,14.701592,16.510511,13.128337,19.956413,17.121505,11.619808,21.068353,18.113208,18.770889,15.833757,17.446136,18.894434,18.002087,18.222453,16.740494,19.919548,20.777553,16.355563,17.639228,14.693471,17.466706,19.414706,16.089206,16.29957,16.886076,14.077343,17.107604,16.911092,14.255778,16.216121,17.497211,15.596509,18.49798,17.748622,14.384438,14.801394,19.891892,16.652888,19.067805,15.151067,14.767157,14.38514,15.411809,12.35284,15.175661,16.251343,19.30288,15.88859,15.029476,21.097156,16.493042,16.541187,13.527385,15.203731,16.533688,19.011012,16.979061,15.204392,13.257547,13.702977,15.095922,16.794566,16.062193,19.602287,20.570592,20.007684,15.506621,18.148629,17.356948,14.003889,19.175287,14.078285,15.958861,20.406115,17.184755,12.590551,16.569767,14.885417,17.25,19.705083,17.964274,26.758341
10.0,26.748623,18.899415,10.0,30.015355,15.091316,15.804607,13.005865,21.684729,12.146718,18.715686,19.222508,19.619377,13.369452,16.799585,15.012785,19.636831,19.689524,18.439981,17.653529,20.030635,23.408392,14.812734,19.324532,18.36036,18.700315,21.440847,18.96833,23.637776,15.426032,18.282999,19.235365,18.352555,19.288468,14.697343,17.056575,18.010733,19.747852,16.738318,18.834821,17.687959,17.69195,16.670166,17.435477,19.6351,18.000468,16.688953,17.741463,17.335563,17.481195,16.381004,19.750241,16.783511,16.853874,17.017703,15.323606,18.08931,16.756776,16.200718,16.200749,17.260008,15.949145,19.314996,15.871452,16.389661,16.969221,14.986554,17.345139,16.979401,15.688831,15.553043,17.473462,16.11413,15.417617,17.026225,16.15588,16.845606,17.747407,15.963594,16.546214,15.552903,15.051986,16.707045,14.666951,14.129604,13.822967,17.200826,16.112479,16.42799,18.085217,18.241564,12.509664,13.151767,12.443763,17.653104,14.339489,15.797306,14.886529,15.433333,26.750435
10.0,26.773596,33.212569,10.0,15.122885,10.295775,17.307692,11.663551,15.366695,11.707763,19.249744,14.990893,11.895178,36.295346,16.510406,21.191308,22.198837,16.201249,11.589109,19.254735,14.841102,13.411003,12.707031,21.053048,22.401933,12.787425,14.991304,18.921914,20.84597,14.536295,21.991228,22.290232,22.349593,19.492404,16.626923,14.299706,17.919248,24.813061,20.884729,19.745743,17.912113,16.552754,14.101961,17.679371,20.072539,20.344859,23.468032,18.572699,21.96863,18.294564,22.186498,18.34215,13.224679,13.817471,15.026133,21.875755,15.268493,17.214785,20.192635,21.123634,17.646501,15.832234,16.282003,20.777097,21.403262,19.495191,18.857629,20.176634,15.258299,18.396778,14.7888,16.125394,17.951628,18.23734,17.381277,18.336385,17.59056,22.84434,17.310138,17.547544,14.697549,11.996344,19.755319,16.279588,14.932921,15.857143,15.11235,13.099174,16.514808,15.764173,13.114583,14.617241,11.240196,18.032189,13.785016,12.541778,18.022976,15.01047,10.0,26.773596
10.0,26.936622,24.582228,18.957166,21.73527,10.0,22.717949,14.721689,14.454637,14.594078,12.691729,18.666352,24.763553,17.438816,11.601583,16.477337,15.492731,16.395349,13.861272,23.088422,14.777677,13.122535,12.257019,16.327703,14.767284,16.692861,15.275474,14.125618,15.844343,13.776013,15.400613,17.1566,16.877126,15.997527,17.13643,16.762744,21.047918,15.853218,19.942422,20.193888,15.766055,17.755257,20.405983,15.120138,16.178935,20.018109,13.601515,20.575385,19.76529,15.246466,20.663147,15.584661,16.864583,19.854222,14.173142,17.839198,17.057885,13.871583,16.337571,21.865535,15.214385,13.937716,16.400422,16.799801,16.135603,14.472738,17.277654,15.431818,16.694076,15.324473,20.767061,15.458087,17.348306,15.077826,14.489749,16.813039,16.939247,14.92279,18.889831,16.612076,17.470355,18.148982,14.828789,18.05515,15.741657,17.176332,14.192037,13.393107,19.253708,19.919817,14.026573,14.905477,13.470541,13.928026,14.480588,12.475473,13.613593,16.096512,16.277714,26.931994
10.0,26.773596,24.097636,10.115044,11.275862,11.083067,22.596337,17.263056,23.141481,16.891216,13.699642,18.110792,35.913958,27.430777,16.866531,14.866667,17.430135,22.747921,25.540369,21.924467,17.343733,19.493664,18.90828,19.985364,19.788348,23.894486,19.619913,18.298614,13.461827,19.600382,13.164786,18.592762,16.315832,18.850713,16.379268,16.192666,18.939333,16.619215,18.053123,15.103139,13.714888,17.702115,18.454673,15.824723,18.451496,18.125593,18.839136,16.880193,19.47107,18.095979,17.476359,19.826087,19.00747,18.698685,18.512638,19.165249,17.897469,15.885271,17.99439,16.818219,20.77261,15.988536,21.391816,18.719254,19.917533,17.850649,16.6485,17.77786,16.502314,15.105533,13.266465,15.578082,18.712079,15.954223,14.514456,17.090347,18.353929,15.770312,14.363068,17.072508,15.107338,14.855217,23.210943,18.75743,14.325668,18.316209,17.744238,17.062201,17.164378,15.861852,16.406844,15.394673,17.457813,15.7404,16.329486,17.957398,18.772294,17.744329,18.344538,26.720721
