1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10.0,31.415094,18.232558,20.801282,21.650943,17.686084,22.611684,21.169154,30.131148,28.536392,25.721649,22.866868,21.432247,17.841945,19.75827,27.800587,26.453674,23.25779,22.049442,19.754522,17.72242,13.188406,18.309609,27.792512,23.952703,25.285948,24.118046,22.517986,18.304348,18.596491,17.12766,18.903226,30.02627,35.169173,30.601415,27.944269,28.394737,26.445087,18.378378,25.0,13.461538,11.666667,12.5,16.209677,17.609489,16.931464,24.741379,24.69914,10.0,30.918033
10.0,32.933071,26.794872,24.535433,29.453125,26.711281,25.088,22.180926,19.679849,20.494505,17.555066,23.534836,22.891683,21.376554,17.487437,18.504043,25.268714,23.282572,24.0625,19.080189,17.03125,14.5,15.677233,17.392638,18.208155,19.272959,16.982544,16.420118,16.937716,15.759162,15.966767,17.44012,16.941032,19.96945,18.861284,18.910788,19.301619,17.798507,16.859206,21.002865,18.2,18.149038,21.245791,21.236364,19.070588,19.459161,25.392157,25.221607,0.0,27.886905
10.0,37.508306,28.917275,29.599125,30.679785,29.526066,27.385257,24.785082,21.454545,20.376214,19.683544,25.158371,24.606742,22.619962,18.017241,15.957447,27.402344,26.818182,21.890681,21.828442,19.024691,16.0,14.981061,12.826087,15.486111,18.759494,19.162621,17.43038,19.115646,17.680965,18.819629,17.145062,16.753623,19.466527,18.632911,16.188811,18.765743,20.21978,21.276596,24.818653,22.377049,18.789308,23.255452,22.516026,20.377155,19.968944,24.830508,24.914773,10.0,32.169492
10.0,34.771481,23.322785,28.218623,26.88196,23.972603,22.879656,21.022222,24.114943,20.712871,19.538043,20.798611,19.772727,18.478261,15.916399,21.837709,20.236318,19.524362,17.398082,19.413146,18.593272,14.148936,19.122596,20.12381,18.787062,18.522427,18.736952,16.824324,18.253676,25.408163,21.265823,21.147388,21.780142,25.362319,23.433396,21.947115,21.873921,18.957655,14.684874,13.689516,14.69697,14.078947,20.0,24.316109,22.334852,22.603486,25.084507,25.127119,0.0,35.148148
10.0,31.315789,20.194444,19.496644,17.710843,18.776758,20.911602,21.196213,28.359107,27.262895,23.515065,23.156297,21.142857,18.600583,18.816631,27.881997,25.273865,24.089574,21.501359,23.040254,19.438356,13.738532,21.488764,25.111111,22.314286,22.538168,22.614329,20.642458,15.093458,14.748603,12.844828,16.076555,28.788501,33.81295,29.596561,27.545455,23.540541,18.691275,20.0,10.5,0.0,10.0,10.09434,15.512195,18.643293,16.344086,24.619718,24.828571,10.0,27.186589
10.0,30.813704,19.69697,19.092466,19.519573,18.270893,23.231173,23.471787,30.590062,28.142415,26.129032,23.145985,20.04158,18.789174,20.663043,29.61367,26.373626,24.884038,20.106222,19.390244,17.874564,12.638889,18.785489,27.535433,23.928571,24.718182,23.986384,20.848329,18.165138,18.669355,16.397849,17.477477,28.900574,36.603896,32.54321,29.407895,24.557692,22.135678,24.861111,11.666667,10.0,10.0,10.0,18.405405,18.507692,16.630137,24.787535,24.914286,10.0,26.766382
10.0,33.352713,19.900794,21.129518,19.87037,18.724036,21.051237,21.126198,29.453925,26.88455,24.832317,22.006221,18.683128,16.337386,20.777027,28.175074,27.257552,23.713528,21.011146,18.621951,17.666667,13.703704,21.871508,26.882716,24.764992,26.107692,23.934081,21.510989,18.434343,18.59375,14.777778,18.853383,33.132328,35.675325,30.652432,28.092999,26.648045,24.660494,18.846154,21.25,10.0,10.0,10.0,19.512821,20.042493,18.445783,24.929379,25.014205,10.0,31.644295
10.0,32.986248,21.124161,19.79021,15.346821,13.97561,17.916667,17.158774,28.944444,21.706924,29.058074,28.381679,25.477759,21.372549,20.080775,23.244804,20.2897,22.907143,22.159091,19.628713,17.354369,20.212766,23.55643,29.358974,23.471731,21.511628,20.758929,17.074341,16.820513,13.508065,12.389706,14.180328,17.115385,23.864143,25.126812,21.455224,21.415094,19.151671,23.614458,22.92887,20.0,19.968017,17.571429,11.949153,16.166667,13.517442,24.521739,24.606414,10.0,35.871212
10.0,31.804124,18.983051,23.796992,24.24282,20.559701,22.256839,21.654357,29.544688,26.508197,24.020062,21.339286,20.576497,17.668919,21.642259,26.253666,25.172131,23.865356,21.463621,17.478632,17.272727,11.643836,19.133987,25.244479,22.697368,24.612737,23.06686,22.250712,17.383721,18.472222,16.167883,20.511551,33.098007,35.686881,31.037204,27.238806,28.838028,26.047297,20.795455,23.75,10.0,10.0,10.0,17.365269,19.126506,19.624352,24.872521,24.914773,0.0,31.891892
10.0,32.134146,21.594203,19.466019,21.656442,20.263852,23.731092,23.504937,29.596413,27.758347,25.396947,22.545455,19.792453,18.459215,18.70892,29.370915,26.255507,24.68414,19.760726,18.550136,17.973485,13.380952,19.409222,26.081967,22.793345,23.826248,23.076347,19.647696,16.237624,17.254098,14.689655,17.155172,29.567308,36.599732,32.094595,29.206263,24.211854,22.139037,20.172414,10.0,10.0,10.0,10.0,17.628571,18.577982,17.074928,24.971671,24.971671,10.0,26.876791
