1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
41.25,39.185008,39.80285,40.003165,38.454695,37.808318,38.134052,38.444444,39.967341,41.790698,41.938776,40.014876,39.463265,38.721248,38.906015,41.550864,40.452668,40.980676,42.755708,42.772959,43.30742,45.336207,40.551867,39.942184,42.906593,40.537961,39.588235,43.960352,44.582938,42.922581,38.786885,37.335548,35.773525,36.772876,36.976228,36.903631,39.327586,42.607362,42.826087,43.154321,42.920245,42.299401,47.462963,37.911197,37.628169,38.296875,37.261719,37.137097,0.0,36.915385
38.9,39.564195,42.713826,42.405963,42.156915,41.888889,38.7251,39.154098,37.677233,37.402315,36.486647,36.8769,37.968421,41.380282,40.008734,35.554077,35.787234,36.034639,35.8875,38.867008,37.677291,42.865546,42.367978,38.082353,37.783626,39.272165,37.059524,35.868243,43.954545,43.530055,42.552511,40.930521,38.334862,35.701818,36.026958,36.594595,33.66523,32.589641,43.155172,49.75,46.916667,46.5,40.142857,41.779661,40.739394,40.90137,35.780769,35.698842,32.0,35.423792
37.7,36.430712,40.583333,37.130243,36.340909,38.083815,37.481735,37.603041,36.582019,36.630363,37.151771,37.559028,32.16826,33.920335,34.155698,32.983051,37.666667,37.434641,38.004255,38.329377,38.578125,41.971698,36.626289,36.273292,39.766962,36.952164,35.913793,39.233696,41.685714,41.740964,41.102564,32.086393,32.103139,32.981859,32.920746,32.022491,31.91555,37.404908,39.128205,44.0,38.888889,40.8,39.5,36.564516,34.695,35.110865,32.853741,32.695804,30.0,32.694158
37.277778,34.015901,39.409091,39.945087,40.334615,40.122302,33.667315,34.250441,33.951487,33.270736,32.725363,33.529235,33.4714,40.124498,39.563218,27.840659,29.044925,30.046131,28.753213,33.294595,31.813725,37.707483,36.205047,32.839109,33.080997,36.848921,32.025,31.442244,38.003937,38.072581,38.794979,36.153061,30.878109,28.087983,28.559645,29.164706,26.207407,24.746137,28.911111,32.584906,39.225806,39.233333,29.338983,36.352941,38.777311,38.126761,29.808176,29.616613,0.0,29.766562
50.4,39.352273,41.649231,41.418367,40.888078,40.171569,37.992593,38.45625,36.685294,37.049563,36.06135,36.583461,36.621978,39.227273,38.770073,35.804107,35.821604,36.291727,35.879684,38.811828,36.406393,43.682692,41.318182,37.930894,37.809417,39.499022,36.780702,37.118852,45.615023,45.513333,44.19337,39.052198,37.590774,35.481348,35.755556,35.550866,33.294931,32.388235,38.785714,48.0,51.5,51.466667,47.857143,41.691057,40.40303,40.138965,35.277778,35.041509,54.0,35.029412
45.444444,34.883333,35.572383,34.601485,34.157514,33.527817,33.718482,34.621394,38.149723,37.873321,44.917603,38.566972,35.631274,36.766454,40.905914,46.551724,48.735632,47.986957,40.83642,35.863445,34.421333,35.158683,36.886051,39.503797,47.076923,46.945098,44.040161,36.142384,34.3157,31.797158,32.22237,32.567146,34.401894,42.634441,48.757576,48.469697,47.919075,46.224138,47.0,38.05,32.45614,33.488506,50.894737,32.510978,33.201835,33.683929,33.592857,33.433213,52.0,33.375439
47.7,35.569231,37.642405,37.87033,37.386921,35.380463,34.465251,35.646789,35.584158,36.123188,36.440514,34.286145,34.667421,36.695876,35.384211,34.681356,34.2,35.066958,35.665236,36.633523,37.55122,40.291667,36.407925,34.825516,36.780488,36.642586,34.910891,36.675,43.559322,42.382979,39.740541,36.425876,33.42126,32.905814,33.011574,33.098923,32.947107,34.719424,43.236111,46.25,49.428571,47.909091,46.25,37.7251,35.670051,36.068182,32.569492,32.038596,41.0,31.86532
42.6,34.990792,41.84739,41.188623,41.042705,38.306397,34.09751,35.321725,35.861386,35.128978,34.911532,35.739655,36.479452,40.609929,37.556561,29.929615,31.025074,31.967914,30.24058,33.431525,32.113139,41.267327,38.594828,34.145522,34.397917,37.733032,33.522593,31.871886,41.150538,40.192053,39.852761,39.404181,33.049275,29.768367,30.750282,31.459938,28.077013,26.316489,39.464286,39.6,39.609756,40.580645,44.8,41.583333,38.646465,37.861538,30.689103,30.309211,39.0,30.006329
42.8,37.778571,42.30662,41.509132,42.237975,41.463351,37.348148,38.448,39.126904,38.074074,37.68231,38.624172,38.063981,43.873457,41.993407,33.227151,35.244373,35.768778,32.282246,36.543814,33.732283,43.314815,41.343407,37.023207,37.542529,41.765281,36.598174,33.882353,43.91716,43.362903,42.844961,42.361217,35.390117,32.442191,33.526132,34.391485,29.891862,26.173267,43.612903,43.777778,49.090909,46.578947,44.4,41.690678,40.888889,40.507463,33.553265,33.250883,37.0,33.185315
37.0,40.065256,42.223729,42.503464,42.324484,40.961652,39.718367,39.744646,38.607815,38.475,38.064516,38.265957,39.65977,41.233871,40.16381,37.496112,37.366221,38.161337,37.269598,38.546154,36.961373,38.267241,40.82199,38.762976,39.466135,40.025135,38.564663,37.337398,42.988571,41.363057,44.753846,40.57772,39.127854,37.834751,37.979975,37.684098,36.02099,36.570652,40.986111,44.545455,50.75,47.6,46.529412,41.52193,40.691395,40.502488,37.042146,36.700389,26.0,36.814672
