1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10.5,9.172495,8.981441,8.991256,9.050444,10.0,10.0,10.5,10.0,10.0,0.0,10.222125,10.222125,10.0,10.0,10.5,0.0,14.742188,14.769759,14.775591,11.25,10.0,10.5,10.0,10.0,10.0,10.0,10.333333,10.0,11.0,10.0,10.4,14.875706,11.732509,11.701672,11.0,10.666667,9.314956,9.314708,10.214286,11.25,13.333333,12.0,10.5,14.693333,14.756757,14.804054,14.495575,14.403013,0.0,10.0,14.710526,9.007244,8.918186,12.408156,12.407795,10.0,11.0,10.166667,0.0,11.0,14.771812,14.778523,10.0,10.0,9.682779,9.709489,11.4008,10.333333,10.0,10.333333,10.0,10.2,10.0,10.0,10.0,10.25,10.0,0.0,10.0,12.501084,12.650159,12.19885,14.061489,10.25,10.0,10.0,14.824324,14.824324,10.0,10.0,11.0,10.5,10.0,10.0,14.846939,14.80678,14.749164,14.767677,9.004059
9.033555,9.031751,7.0,7.0,0.0,11.38689,9.878643,9.914586,6.75,6.75,7.0,11.621357,11.62095,6.666667,7.0,7.0,7.0,6.6,6.5,6.5,6.666667,7.0,6.666667,7.0,7.0,12.780855,12.777076,7.0,7.0,0.0,7.0,6.5,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,9.0303,9.030915,14.0,0.0,7.0,7.0,13.883408,13.879552,9.728515,9.727543,7.0,6.5,7.0,7.0,7.0,13.535097,13.254021,14.756144,7.0,7.0,6.5,7.0,7.0,7.0,11.0,9.666667,11.0,12.333333,14.350733,14.330594,7.0,0.0,14.769231,14.804878,6.666667,6.666667,7.0,7.0,7.0,7.0,7.0,7.0,0.0,10.412888,10.41193,7.0,0.0,7.0,7.0,7.0,9.031278,9.031278,7.0,7.0,7.0,0.0,7.0,9.03417,9.03074,9.031552
6.0,9.029759,6.0,6.0,6.0,9.877546,9.464608,9.554375,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,9.046187,9.044937,6.0,6.0,6.0,11.300832,11.140003,10.958651,15.0,10.5,5.78,5.6,6.0,9.042717,9.042717,6.0,6.0,6.0,6.0,6.0,6.0,13.542011,13.545675,6.0,0.0,12.820666,12.822809,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.608511,12.181218,12.328507,6.0,6.0,6.0,6.0,6.0,9.053415,9.052784,13.681457,13.666226,6.0,6.0,6.0,6.0,9.043139,9.043139,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,9.0,9.6,14.71619,14.746753,14.742018,14.614719,12.0,10.5,6.0,6.0,6.0,6.0,9.030377
11.75,9.105005,11.333333,11.0,0.0,11.984709,11.984052,12.967009,12.96755,12.966757,12.077609,12.077209,11.0,11.25,9.086218,9.072559,9.052457,11.333333,11.666667,0.0,11.75,11.5,11.0,11.333333,11.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,13.60627,13.608553,9.211779,9.573757,9.266503,13.675755,11.333333,9.066933,9.067647,12.0,11.5,11.5,11.0,11.5,12.0,12.0,12.0,0.0,11.0,12.0,12.0,11.5,11.5,12.0,11.0,11.5,11.0,0.0,0.0,11.0,11.801804,11.25518,11.335789,0.0,11.0,0.0,0.0,14.543478,14.644444,14.704545,10.071234,10.07151,11.0,11.333333,11.25,11.0,12.0,11.25,12.0,11.0,11.333333,11.0,13.853448,13.862069,13.783333,0.0,11.2,12.0,11.5,12.0,0.0,12.0,11.0,11.5,11.333333,11.5,11.666667,9.104506
10.0,8.95561,10.0,10.0,10.0,10.046692,9.458743,9.551927,10.0,10.0,12.5,13.333333,0.0,0.0,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.244521,12.090295,11.951654,10.130435,9.9,9.769231,10.0,10.0,8.992021,8.992021,10.0,7.06962,7.032051,10.0,10.0,10.0,10.0,14.241206,14.241206,10.0,10.714286,10.360433,10.359716,10.0,8.867925,8.867925,10.0,10.0,10.0,10.0,8.985543,8.985754,10.0,6.960265,8.907496,8.938574,11.390425,11.25993,13.164395,13.921973,9.708333,15.0,13.333333,13.228023,13.232394,13.17446,8.609245,9.259223,10.625,6.92053,7.0,0.0,10.0,10.0,14.680905,14.645669,14.536585,14.65,10.0,10.0,10.0,14.76,14.673077,14.831169,11.25,13.0,15.0,12.5,10.0,10.0,10.0,8.955397
7.0,9.083703,7.0,7.0,7.0,7.0,7.0,13.053451,12.024445,12.313418,12.090288,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.712101,9.703614,13.559063,7.0,7.0,7.0,10.462746,10.460528,14.0,14.130841,7.0,7.0,9.677057,9.773012,9.87204,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,13.918033,14.033333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.082162,9.08239,7.0,7.0,11.328173,11.308503,14.191057,14.225118,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,9.100152,9.068644,9.086648,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.084363
14.008114,9.602868,14.429577,11.0,11.0,14.284247,12.27868,12.25611,11.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,11.0,0.0,14.505155,9.033668,9.04152,14.808824,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,14.307054,14.318182,14.319502,13.892857,9.78786,9.758554,11.0,11.0,11.0,11.0,11.0,11.0,14.252033,14.282686,13.906703,13.922631,11.420799,11.353205,11.0,11.0,11.0,11.0,11.0,11.0,14.31405,14.286885,13.388889,9.476767,9.486937,10.32656,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,12.333333,11.0,14.8,13.787215,12.877915,13.127253,12.77214,7.932773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.04918,8.947558,8.956435,8.907694,11.0,11.0,14.278689,14.104762,9.058835
10.0,9.017701,9.5,10.0,9.0,9.478261,9.458333,9.71875,9.645231,9.644546,11.045455,11.545455,13.625,9.520261,9.365147,9.640816,7.858871,11.8,10.5,11.75,9.5,9.5,9.0,9.333333,9.5,9.0,9.666667,9.25,9.666667,9.75,9.333333,0.0,14.0,9.5,11.0,13.214286,13.055556,12.142857,11.0,12.0,9.25,9.0,9.0,0.0,9.666667,9.666667,9.0,9.0,9.0,7.345588,9.888478,9.907291,13.239031,9.0,9.5,13.8,11.762231,11.620611,9.010444,9.0336,9.0,0.0,9.0,14.275986,14.271262,9.0,9.25,9.5,0.0,12.5,13.333333,12.5,13.428571,10.375579,10.36891,9.333333,12.0,12.401667,12.416578,14.883316,14.666667,9.0,9.0,12.729892,12.729892,7.313433,9.015226,9.038438,9.5,9.0,9.333333,9.0,0.0,9.5,9.5,0.0,10.25,8.103774,8.038095,9.017701
10.0,9.045166,9.0,9.5,9.0,9.0,9.333333,13.730748,13.596929,9.5,9.0,9.333333,9.4,10.0,9.666667,9.5,13.670711,9.543427,9.842466,9.023297,9.666667,9.4,9.0,13.793003,13.634146,13.622995,13.647059,13.584848,13.767123,9.137255,8.818212,10.0,9.0,9.75,9.5,9.5,13.774038,9.133761,8.814054,9.0,9.0,9.666667,9.5,9.0,9.0,9.333333,10.0,9.75,9.5,9.0,9.5,10.0,9.5,10.0,9.666667,9.5,9.75,9.25,9.4,9.333333,9.25,9.5,0.0,0.0,10.0,13.716772,9.134667,8.814183,14.116697,11.828418,10.094902,10.229329,9.557546,11.675293,11.149081,9.2,9.0,9.5,14.020161,14.120805,14.068182,9.5,9.0,9.5,9.5,9.333333,9.25,9.6,9.0,13.753165,13.672651,9.4,13.461676,11.288807,11.298555,9.333333,9.25,9.0,9.25,9.045076
10.0,8.965629,8.999792,9.030311,9.000052,15.0,15.0,13.888889,0.0,11.0,10.0,0.0,0.0,0.0,0.0,15.0,8.333333,15.0,12.100868,12.100868,15.0,13.0,9.009996,9.009166,15.0,13.888889,0.0,15.0,11.666667,5.0,10.0,9.991555,9.893015,10.412897,14.230769,13.333333,10.0,15.0,11.666667,15.0,15.0,15.0,10.0,15.0,13.341188,13.340373,11.310286,11.311069,15.0,14.0,15.0,15.0,0.0,5.0,15.0,15.0,15.0,15.0,10.0,9.00155,9.003409,14.090909,15.0,10.0,15.0,7.5,8.333333,15.0,0.0,13.137448,13.025026,13.433424,13.419588,15.0,14.090909,15.0,14.346221,14.359155,14.322917,14.377672,11.666667,15.0,15.0,15.0,12.5,13.333333,12.5,15.0,15.0,15.0,11.666667,11.666667,15.0,15.0,13.0,10.0,15.0,0.0,15.0,8.965413
