1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10.0,24.406566,13.265306,12.774566,11.589506,13.070652,16.592649,15.768678,13.24813,13.640777,13.756019,13.323124,12.352941,12.262295,12.403382,17.984869,18.098927,18.823138,16.215385,15.985915,17.272727,10.0,14.341637,18.408724,17.621849,14.663774,18.185619,19.188034,10.0,10.0,10.0,10.389222,14.283582,20.241788,20.980676,20.969203,17.595137,11.517857,10.0,10.0,10.0,10.0,10.0,10.283019,15.357143,15.097656,24.914286,24.829545,0.0,25.716253
10.0,25.294906,10.0,10.0,10.782609,11.666667,15.49505,15.485564,13.185185,16.193265,16.396396,13.636898,13.037518,13.224401,13.562925,15.921325,16.360182,16.616667,16.177778,18.643498,18.767821,10.0,10.123967,15.993658,17.944631,15.331263,16.447964,17.35905,10.0,10.0,10.0,10.0,11.188525,17.873494,20.446224,20.265837,17.464431,15.362694,11.872727,14.511568,14.531646,13.535109,10.0,10.0,11.122449,11.078431,24.695652,24.695652,10.0,25.716253
10.0,22.10084,19.516129,18.692722,13.961303,14.520548,16.313629,15.895296,12.462908,11.173077,11.420664,12.774958,12.461874,17.07346,15.657658,13.75,16.602564,17.302026,12.195122,11.974522,12.818182,10.0,16.568266,16.081933,13.459302,15.658824,17.959184,16.869806,10.0,15.0,14.625551,11.475771,15.987124,17.936893,18.232205,16.688931,13.786214,14.633401,14.722864,13.47619,10.175439,10.0,10.0,12.324324,16.96875,16.783626,25.196078,25.153631,10.0,25.769231
10.0,24.427481,21.92429,21.559633,13.355615,13.702771,14.856557,14.818512,12.068966,10.789474,10.571429,15.795948,14.761538,15.985714,14.04936,14.059011,15.589552,16.491379,15.680272,15.089606,12.52551,14.401914,15.553539,15.430108,14.472727,14.281346,14.576271,13.596838,14.071038,15.37961,14.518072,14.482759,14.711191,11.554622,13.651685,15.914221,14.947368,14.951691,15.676471,17.254408,18.309038,10.0,16.368715,16.320225,16.735242,16.791958,25.196078,25.196078,0.0,25.662983
10.0,22.108051,19.235669,18.738739,13.996063,14.546332,16.546311,16.251729,12.877653,12.25974,12.518892,13.963012,13.452797,16.79704,16.11418,14.682713,19.282544,19.785503,13.713592,13.636364,14.594595,10.0,19.221902,18.118812,14.389401,17.892791,18.62628,14.918033,10.0,10.0,10.0,11.906355,18.036117,20.455882,21.144186,19.957045,14.271318,10.0,10.0,10.0,10.0,10.0,0.0,11.99422,19.367978,18.963731,25.070822,24.985915,0.0,25.716253
10.0,21.990291,13.112583,10.0,11.894273,13.261649,15.393891,15.258333,14.459459,14.642384,14.676754,14.628433,12.769556,10.853175,13.949468,18.762655,17.665037,18.549223,15.359281,15.857988,17.074236,10.0,14.62963,18.395586,17.76616,14.863636,18.510101,19.672619,10.0,10.0,10.0,10.684932,14.674682,20.146252,20.805529,20.417044,17.460815,11.111111,10.0,10.0,10.0,10.0,10.0,10.0,15.103734,14.84252,24.782609,24.782609,10.0,25.716253
10.0,22.303371,14.787234,10.633803,12.236842,12.868098,15.259831,15.378086,14.053085,14.241573,14.313305,14.727723,12.972665,10.906977,14.380403,17.816159,17.163121,17.058824,16.707132,17.265625,17.848101,10.0,14.852941,17.893836,17.851324,14.716157,18.565436,19.376694,10.0,10.0,10.0,11.015326,14.56338,20.072793,20.910781,20.621693,17.780041,10.752688,10.0,0.0,0.0,10.0,10.0,10.0,14.493671,14.570815,24.914773,24.872521,10.0,25.662983
10.0,21.917293,18.230616,15.200501,14.772382,15.946133,16.298013,15.154839,10.577508,10.294118,10.0,14.324759,17.651822,17.079439,12.307692,10.35865,13.282098,14.057203,14.455782,16.355353,14.568106,12.747748,13.167614,12.464789,12.003012,13.98977,13.385714,12.745902,13.825397,14.83871,12.974537,13.756757,15.059642,15.193798,14.098361,14.414414,13.324937,12.617188,12.28013,16.415094,16.873156,13.303965,16.422535,16.380282,16.480447,16.53271,25.294118,25.294118,0.0,25.716253
10.0,24.895561,10.0,10.0,15.566406,15.877743,15.122951,15.252174,15.018182,15.177096,15.074074,14.637097,13.388158,12.563694,13.446602,18.947072,18.335147,17.337662,15.322581,15.283333,16.690141,10.0,11.453488,18.895254,18.888013,14.075203,18.85466,20.780142,10.0,10.0,10.0,10.0,12.950368,20.930543,21.806883,21.910798,19.372744,12.491909,10.0,10.0,10.0,10.0,10.0,10.0,12.534247,12.283951,25.05698,24.929379,10.0,25.716253
10.0,24.058442,21.87643,15.423077,16.431624,16.634615,17.538553,15.583554,10.40404,10.390244,10.0,10.0,23.333333,22.9,10.0,10.0,15.708431,15.898161,15.116861,17.849265,18.149466,13.032258,12.802548,12.857143,10.0,18.878327,17.984791,18.990291,13.856305,14.70297,12.419786,11.587678,17.779097,18.388998,14.032787,13.408163,15.711645,14.846154,12.671429,12.396313,12.487562,12.258065,18.119266,17.638554,18.117089,18.396947,25.306407,25.349162,10.0,25.609418
