1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10.0,18.904255,18.753747,15.359455,14.846287,13.966967,13.683192,13.693122,12.444444,10.833333,10.0,10.0,15.057245,15.075404,0.0,10.0,17.490637,14.898659,13.754319,15.001495,14.250331,11.747475,11.345455,11.268657,10.0,15.972265,14.577465,14.740203,12.154386,11.0,10.979592,10.0,13.982222,13.252129,10.728571,11.314079,13.714689,14.152672,15.272727,10.0,10.0,10.0,14.627151,14.605882,13.764554,13.816901,15.201401,15.201401,10.0,18.93501
10.0,17.073976,14.640152,12.878338,12.460843,12.002646,12.714481,12.887931,12.649842,12.115385,11.692308,11.622396,11.629371,10.448276,12.855524,14.285052,14.106624,13.479821,13.026801,11.672932,11.848739,10.0,12.951351,13.276479,12.887526,12.722449,12.813296,12.880814,10.0,10.0,10.090909,11.589286,17.218519,18.025147,16.146497,15.064808,16.404282,18.503817,10.0,10.0,10.0,10.0,10.0,10.522727,12.541237,12.575916,14.754717,14.727955,10.0,18.190763
10.0,19.306122,18.333333,16.118797,15.387195,14.33015,13.951631,13.887906,14.666667,13.688623,10.0,10.0,15.012174,15.051971,10.0,10.0,15.719807,13.526217,12.830424,13.690909,13.174147,11.025126,10.762431,10.816794,10.0,14.125,13.255769,13.5,12.402299,12.174825,11.488251,11.513986,12.952191,12.734104,12.103064,10.773684,12.757752,13.102094,14.063291,12.450331,11.763754,11.784566,13.493797,13.473815,12.842975,12.840722,15.138544,15.138544,10.0,19.023158
10.0,17.084433,15.71757,13.848989,16.217333,15.655346,14.697892,14.059856,13.217712,13.934343,14.4,16.748619,15.644172,14.593453,14.157197,10.849673,10.578947,12.524109,12.4375,11.062112,10.0,10.0,10.0,10.0,11.969697,11.841379,11.063123,10.30303,14.238477,14.138943,15.103691,13.746246,12.473568,13.511494,13.235736,10.928571,11.025478,10.965035,0.0,15.800317,14.421898,14.288084,10.0,10.0,10.0,10.0,14.673077,14.700193,10.0,15.669611
10.0,17.414665,15.596667,13.419437,13.007752,12.412048,12.716981,12.828767,12.003968,11.56,11.264957,11.066434,11.165179,10.681818,12.994444,13.724305,13.08547,12.969466,12.942335,13.710098,12.781629,13.965517,13.321188,12.43595,11.452941,11.13125,11.03012,13.620438,13.797888,12.862481,12.54386,11.723164,11.154799,11.532258,12.36014,12.008264,11.168421,10.7875,12.289963,12.591071,12.774834,14.664286,10.0,10.874074,12.832168,12.794521,14.841121,14.83209,10.0,18.528689
10.0,18.094296,16.061389,14.775304,16.487406,16.023945,15.203494,14.384686,13.223827,14.304094,16.117647,16.24,15.385588,14.344186,13.605505,10.6,10.496183,12.825581,12.295154,10.923077,10.0,10.0,10.0,10.0,11.925795,11.759717,10.833333,10.051282,14.414063,14.267925,15.162872,13.746154,12.482353,13.714286,13.562998,10.483516,10.823077,10.768,10.0,16.338686,14.880537,14.615603,10.0,10.0,10.0,10.0,14.556213,14.547244,10.0,16.159049
10.0,19.286299,18.505176,17.616236,16.466403,15.263095,14.838835,14.722291,14.834951,13.671429,10.0,10.0,14.910072,14.936015,10.0,10.0,10.0,10.0,10.0,15.54295,14.74063,11.90566,14.919355,14.986555,10.0,10.0,10.0,11.588517,12.931937,19.848725,17.590032,16.397772,15.83383,15.125,10.0,10.0,10.0,10.0,10.0,10.0,11.428571,10.0,10.0,17.677656,16.220441,16.309744,14.888476,14.879406,10.0,19.023109
10.0,18.073512,14.824742,13.730447,14.638146,13.488525,13.054698,13.185249,14.561151,12.173913,13.5,12.377622,15.261773,13.421456,14.945783,10.0,10.0,10.0,11.910931,13.522989,13.709924,11.8,13.14963,13.790433,10.0,0.0,10.0,11.070064,15.053819,18.900181,16.997451,16.009934,14.218812,13.44086,10.0,10.0,10.0,10.0,10.0,10.0,11.647059,11.6621,10.0,17.347716,16.084264,16.149269,14.821092,14.81203,10.0,18.859213
10.0,15.358974,10.0,10.0,10.0,10.969512,13.37561,13.970339,14.379798,13.57489,12.902954,12.757951,12.713568,10.032258,11.704918,17.494692,15.773659,14.987839,14.979592,12.492718,12.93314,10.0,11.234286,14.07355,13.680511,12.2975,13.393939,14.013645,10.6,11.5,13.666667,11.063291,14.802536,19.082038,16.660924,15.599372,16.397969,16.386243,10.0,10.0,10.0,10.0,10.0,10.0,11.127168,11.122807,14.621359,14.594595,10.0,15.428076
10.0,18.894569,15.963351,14.012232,15.067524,13.965066,13.371173,13.351506,14.021429,13.488722,16.090909,11.517241,15.143279,13.818565,14.451777,10.545455,14.664107,13.599303,13.417633,13.092457,12.563786,11.0,10.744048,10.531746,10.0,13.389831,12.538278,12.743781,12.571429,12.556962,12.195122,12.088542,12.665281,12.76584,12.774648,10.771084,12.212528,12.579805,13.617143,13.106849,12.293367,12.201102,12.903226,12.87574,12.339882,12.339844,14.945255,14.945255,0.0,18.91841
